Key,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,T
1,2.05,2.25,1.8,1.63,2,1,3,2,3,3,2,2,1,1,2,2,2,2,2.19
2,2.06,1.95,2.37,2.25,3,1,1,2,2,2,4,1,2,2,2,1,2,3,2.22
3,2.22,2.38,1.72,2.04,1,2,3,2,3,3,3,2,2,1,2,1,1,2,2.28
4,2.16,2.21,1.89,2.37,2,1,2,2,2,2,2,2,2,1,2,3,2,2,2.29
5,2.58,2.45,2.4,2.11,2,2,2,2,3,2,3,4,1,2,2,2,3,2,2.31
6,2.37,2.42,2,2,2,2,1,2,2,2,2,2,1,2,2,3,3,2,2.31
7,2.37,2,2.21,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2.32
8,2.32,2.26,1.95,2.21,2,1,2,2,3,2,2,2,2,2,1,2,1,3,2.32
9,2.53,2.26,2.32,2.11,2,2,2,2,3,2,2,4,2,2,2,3,2,2,2.33
10,1.89,2.5,2.16,1.79,2,1,2,2,2,1,4,2,2,1,2,3,2,2,2.33
11,2.37,1.68,2.32,1.74,2,2,1,2,3,2,2,2,2,1,2,2,2,4,2.33
12,2.37,2.25,1.85,2.47,1,2,2,2,3,2,2,3,2,2,2,2,4,2,2.34
13,2.21,2.53,2.21,1.79,2,2,2,2,3,2,3,2,2,2,2,3,1,2,2.34
14,2.67,2.26,2.05,1.79,2,2,2,2,3,2,2,2,2,2,1,2,1,2,2.35
15,2.63,2.05,2.05,2.16,2,2,2,1,2,2,2,2,2,2,2,2,3,2,2.37
16,2.21,2.11,2.32,2.21,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2.39
17,2.37,2.32,1.95,1.8,2,2,2,2,3,2,2,2,2,2,1,2,1,2,2.4
18,2.78,2.21,2.06,2.05,2,1,1,2,2,2,2,2,2,3,1,2,1,2,2.4
19,2.32,1.85,2.5,2.32,2,1,1,1,1,2,2,4,2,2,2,2,3,2,2.41
20,2.79,2.32,2.05,2.32,3,2,3,2,4,2,2,2,2,2,1,2,3,3,2.42
21,2.5,2.19,2.5,1.88,2,2,2,2,2,3,2,3,2,2,1,2,3,1,2.42
22,2.58,2.35,2.32,2.32,2,2,3,2,2,2,2,3,2,3,2,2,4,2,2.44
23,2.22,2.32,2.33,2.19,1,2,1,2,3,2,2,2,2,3,2,2,1,2,2.45
24,2.67,2.79,1.94,2.18,3,2,2,2,3,2,3,3,2,2,1,2,1,1,2.46
25,2.88,2.33,2.42,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2.46
26,2.11,2.58,2.37,2.42,1,2,2,2,3,3,3,3,3,3,1,2,1,1,2.46
27,2.17,2.18,2.24,2.16,2,1,2,1,3,2,2,3,2,2,2,2,3,2,2.47
28,2.53,2.11,1.84,1.89,1,2,2,2,3,2,1,2,2,1,2,2,2,3,2.47
29,2.58,2.16,2.16,2.42,2,2,2,2,3,2,2,3,4,2,2,2,2,2,2.48
30,2.53,2.42,2.1,2,2,2,2,2,3,2,3,2,2,2,2,2,1,2,2.49
31,2.68,2.28,2.16,2.79,2,2,2,3,3,3,2,2,2,3,2,2,4,2,2.49
32,2.39,2.32,2.4,2.43,2,2,2,2,3,2,4,3,2,3,2,2,2,2,2.49
33,2.63,2.21,1.95,1.89,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2.5
34,2.26,2.5,2.43,2.21,2,2,2,2,2,2,2,3,2,3,2,3,2,2,2.5
35,2.33,2.37,1.95,2.3,2,2,3,2,2,2,4,2,2,3,2,2,2,2,2.5
36,2.28,2.42,2.65,1.95,1,2,2,2,3,4,2,2,2,2,1,1,1,3,2.5
37,2.47,2.26,2.53,2.16,2,2,2,2,3,2,2,4,2,2,2,3,2,3,2.51
38,2.74,2.58,2.32,2.53,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2.51
39,2.67,2.53,2,1.89,2,2,2,2,3,2,3,2,2,3,2,2,1,2,2.51
40,2.56,2.53,2.43,1.82,2,3,2,3,2,2,4,2,1,2,1,2,1,2,2.52
41,2.53,2.16,2.16,2.21,2,2,2,2,3,3,2,2,3,2,2,2,1,2,2.52
42,2.39,2,2.2,2.27,2,2,1,2,3,2,3,3,2,4,1,1,2,1,2.52
43,2.33,2.26,2.58,2.53,1,2,1,2,2,2,2,3,3,3,2,2,1,1,2.52
44,2.53,2.11,2.32,2,3,2,2,2,3,2,3,3,2,2,2,3,2,2,2.53
45,2.17,2.42,2.29,2.14,1,2,2,2,3,2,2,3,2,2,2,1,2,2,2.53
46,2.28,2.57,2.46,2.27,2,1,2,2,3,2,2,3,2,2,2,2,3,1,2.53
47,2.22,2.17,2.38,1.9,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2.53
48,3.37,2.63,2.35,2.26,3,3,4,2,3,2,2,2,2,2,2,2,2,4,2.54
49,2.42,2.21,2.05,2.11,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2.54
50,2.78,2.16,2.28,2.14,3,1,2,2,2,3,3,4,1,2,2,1,1,1,2.54
51,2.79,2.67,2.37,2.58,2,3,4,3,2,2,2,2,2,3,2,2,4,3,2.55
