Key,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,T
444,2.05,2.53,2.88,1.71,1,2,3,2,2,3,2,3,4,2,2,2,2,1,2.34
445,1.68,2.05,2.3,2.35,1,1,2,1,2,2,2,3,2,2,2,2,3,2,2.34
446,2.15,2.26,2.08,2,2,1,2,1,2,1,2,2,1,1,3,2,4,1,2.37
447,2.05,2.16,2.22,2.21,1,1,2,1,2,2,3,3,3,2,1,2,2,2,2.43
448,2.05,2.37,2.5,2.18,2,1,2,1,2,3,2,3,2,2,1,2,3,2,2.44
449,2.45,2.74,2.08,2.35,1,2,2,2,4,2,2,3,2,3,3,3,2,1,2.46
450,2.45,2,1.96,2.14,3,2,2,1,2,2,2,2,2,2,1,2,2,1,2.47
451,2.25,2.04,2.22,2.17,2,2,1,2,4,2,2,3,2,2,2,1,2,1,2.47
452,2,2.27,1.95,2.05,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2.47
453,2.05,2.63,2.52,2.06,2,1,2,2,3,3,2,3,2,2,2,2,3,1,2.49
454,2.47,2.32,2.42,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2.5
455,2.35,2.2,2.33,2.33,2,2,2,1,2,2,1,2,3,2,2,2,2,3,2.51
456,1.89,2.24,2.46,2.24,1,1,2,1,2,2,3,3,1,3,2,2,2,2,2.52
457,2.42,2.53,1.83,2.59,2,1,3,2,2,2,1,2,2,3,1,2,2,2,2.52
458,2.26,2.21,2.18,2.18,2,1,2,2,2,2,2,3,2,2,2,2,2,1,2.53
459,1.68,2.63,2.29,3.12,1,1,2,2,2,2,2,3,2,3,2,2,2,3,2.54
460,2.47,2.74,2.09,2.38,2,2,2,2,3,3,2,3,3,1,1,2,2,1,2.55
461,2.47,2.42,2.68,2.2,2,1,2,2,2,2,2,4,3,3,2,2,2,2,2.55
462,2.32,2.32,2.43,2.67,2,2,2,2,3,3,2,2,2,3,1,3,2,1,2.55
463,2.32,2.63,2.04,2.5,2,2,2,2,2,2,1,3,1,3,2,2,2,2,2.58
464,2.63,2.63,2.08,2.18,2,3,2,2,3,2,2,2,1,2,1,2,2,2,2.58
465,2.53,2.42,2.45,2.16,1,2,2,2,2,2,2,3,3,2,1,2,2,1,2.59
466,2.11,2.32,2.04,1.95,2,1,2,2,2,3,2,2,1,3,2,2,2,2,2.59
467,2.05,2.26,2.19,1.94,1,2,3,1,2,1,2,2,1,2,2,1,2,2,2.59
468,2.45,2.26,2.38,2.47,2,2,2,1,3,2,1,2,2,4,1,2,2,2,2.61
469,2.15,2.24,1.91,2.59,2,1,2,1,3,2,1,2,2,3,1,2,2,3,2.64
470,2.5,2.79,2,2.5,3,2,2,3,3,1,3,2,3,2,2,1,2,1,2.66
471,2.55,2.63,2.46,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2.67
472,2.42,2.89,2.88,2.25,2,2,3,1,3,2,2,3,3,3,3,2,2,2,2.69
473,2.42,2.47,2.25,2.81,3,2,3,1,3,2,2,2,3,3,1,1,3,3,2.69
474,2.37,2.84,2.76,2.41,2,2,2,2,4,3,1,2,4,2,2,2,2,1,2.69
475,2.55,2.53,2.32,2.58,2,1,2,2,2,2,1,3,4,2,2,2,2,1,2.69
476,2.45,2.42,2.79,2.47,2,3,2,2,2,2,3,4,3,2,3,3,2,3,2.7
477,1.89,2.84,2.25,2.69,1,1,3,2,3,2,1,2,3,2,2,2,3,4,2.72
478,2.37,2.53,2.63,2,3,2,3,2,2,2,4,2,2,2,3,3,2,2,2.73
479,2.37,2.53,2.57,2.26,2,2,2,2,2,2,2,3,3,2,1,1,2,2,2.74
480,2.21,2.5,2.42,1.88,1,2,2,1,2,2,2,3,2,2,1,2,2,1,2.75
481,2.65,2.63,2.46,2.45,3,3,3,2,2,2,2,2,4,4,1,2,3,2,2.75
482,2.63,2.42,2.14,2.68,2,1,2,2,2,2,2,2,3,4,1,3,2,2,2.76
483,2.58,2.63,2.58,2.29,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2.77
484,2.37,2.63,2.13,2.59,2,2,3,2,2,2,3,2,2,3,2,2,2,2,2.77
485,2.42,2.47,2.62,2.13,3,1,2,1,3,2,2,3,2,2,2,2,2,1,2.77
486,3,2.26,2.19,2.19,2,4,2,1,2,3,1,2,2,3,1,1,2,2,2.77
487,2.83,2.56,2.21,2.79,2,3,2,1,2,2,1,3,2,2,3,2,2,2,2.77
488,2.47,2.42,2.75,2.82,2,1,2,2,3,2,3,2,3,3,2,3,2,4,2.78
489,2,2.32,2.54,3,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2.78
490,2.16,3.32,2.79,2.06,2,1,2,3,4,2,4,4,2,2,1,2,2,1,2.79
491,2.58,2.32,2.76,2.15,3,1,2,2,2,3,2,3,2,2,3,2,2,3,2.8
492,2.6,2.74,1.95,1.88,2,2,2,2,3,2,1,2,3,2,2,2,1,2,2.81
493,2.75,2.84,2.67,2.5,2,3,4,2,2,2,2,2,2,3,2,2,2,2,2.81
494,2.69,2.25,2.43,2.56,4,1,2,2,3,2,1,2,3,2,1,2,2,2,2.82
495,2.95,2.95,2.29,2.21,3,2,2,4,4,2,2,2,2,2,2,2,2,4,2.83
496,2.95,2.63,2.5,2.12,2,3,2,2,3,2,2,2,2,2,2,2,2,1,2.85
497,2.26,2.67,2.43,2.71,1,1,2,1,2,2,2,2,2,3,3,2,2,4,2.85
498,2.86,2.76,2.36,2.71,1,2,2,3,2,3,2,3,2,3,1,4,3,2,2.86
499,3.11,2.84,2.24,2.84,3,2,2,2,3,2,2,2,3,3,1,2,2,3,2.87
500,2.4,2.95,2.38,2.56,2,2,3,2,3,2,2,2,2,3,2,2,2,2,2.88
501,2.79,2.74,2.25,2.76,3,3,3,2,3,2,2,2,2,3,2,3,3,2,2.88
502,2.63,2.74,2.63,2.76,2,2,3,2,2,3,2,2,2,3,3,3,3,2,2.89
503,2.81,2.84,2.52,2.4,3,2,2,3,3,2,2,3,3,3,1,3,2,2,2.89
504,2.65,2.37,2.71,2.43,2,3,2,1,2,3,2,2,3,3,2,2,2,2,2.9
505,2.62,2.84,2.4,2.74,1,2,3,1,3,3,2,4,2,3,2,3,2,2,2.9
506,2.8,2.42,2.33,2.8,2,3,2,2,2,2,1,2,3,2,2,2,2,3,2.9
507,2.76,2.84,2.44,2.84,2,2,2,3,2,3,3,3,2,2,2,4,3,2,2.91
508,2.63,2.38,2.46,2.52,2,2,2,2,2,2,2,2,2,2,3,3,2,4,2.92
509,2.89,2.68,2.08,2.71,3,2,2,3,2,2,2,2,2,3,2,2,2,2,2.93
510,3.37,3.11,2.62,2.63,3,4,3,3,3,3,3,2,3,2,2,3,3,4,2.94
511,3,2.84,2.29,2.42,2,2,2,2,4,2,2,2,2,3,2,4,2,4,2.96
512,2.79,2.63,2.62,2.37,2,2,2,2,3,3,2,2,2,2,3,3,3,4,2.97
513,3.05,2.63,2.83,2.25,4,2,3,2,2,2,2,3,3,2,4,2,2,2,3
514,2.53,2.95,2.61,2.75,2,2,4,2,2,3,2,2,4,2,2,2,2,3,3
515,2.9,2.96,2.72,3,2,2,3,2,2,4,3,3,3,3,2,3,3,2,3.01
